Character name	Freebase character ID	title	filtered_descriptions	X	Y	Z	labels	Wikipedia ID	death	romance	Release date	Gender	Height	Ethnicity	Actor name	Actor age at release	Box office revenue	Genres	Name
Damien	/m/0j5fyjw		['share', 'attack', 'kill']	-17.781326	8.992056	14.923045	30	22907524		False	2008.0	M			Leigh Crocombe			['Drama', 'Action', 'Horror']	Colin
Rebecca 'Becky' Ann Leeman	/m/0gxmyx_		['sing', 'contrast', 'competition']	24.87814	15.216316	-29.71937	4	871658		False	1999.0	F	1.68	/m/0bfjm7	Denise Richards	28.0	10571408.0	['Comedy']	Drop Dead Gorgeous
Frankie	/m/0gy9xfv		['realize', 'accept', 'tell']	-1.2485017	-2.8526216	-41.36341	5	31232513		False	2012.0	F	1.65		Elizabeth Banks	38.0	12434778.0	['Drama', 'Coming of age']	People Like Us
Verna Carlson	/m/0h5b_ds		['produce', 'kill', 'cash']	-6.9934297	13.417078	23.468388	27	2702787		False	1947.0	F	1.6	/m/065b6q	Susan Hayward	29.0		['Drama', 'Black-and-white', 'Crime Fiction']	They Won't Believe Me
Doug	/m/05srhgq		['reveal', 'conversation', 'marry']	42.855972	-6.7590876	-7.7201467	17	21918632		False	2009.0	M	1.73	/m/041rx	Justin Bartha	30.0	467483912.0	['Comedy', 'Buddy film', 'Screwball comedy']	The Hangover
Phil Wenneck	/m/05yrpyr		['tell', 'treat', 'shoot']	-25.178406	9.770139	23.81752	13	21918632		False	2009.0	M	1.85	/m/03bkbh	Bradley Cooper	34.0	467483912.0	['Comedy', 'Buddy film', 'Screwball comedy']	The Hangover
Phil Wenneck	/m/05yrpyr		['tell', 'treat', 'shoot']	-25.178406	9.770139	23.81752	13	23295795		False	2011.0	M	1.85	/m/03bkbh	Bradley Cooper	36.0	581464305.0	['Comedy', 'Buddy film', 'Absurdism']	The Hangover: Part II
Phil Wenneck	/m/05yrpyr		['tell', 'treat', 'shoot']	-25.178406	9.770139	23.81752	13	23295795		False	2011.0	M			Tanner Maguire	12.0	581464305.0	['Comedy', 'Buddy film', 'Absurdism']	The Hangover: Part II
Prakash	/m/0h6ykbr		['offer', 'cause', 'make']	-27.31887	3.1594305	-36.410168	8	23852142		False	1995.0	M		/m/0dryh9k	Sumeet Saigal			['Drama', 'Melodrama', 'Ensemble Film']	Sauda
Deepak	/m/0h6kmk4	['student']	['offer', 'kill', 'ask']	20.852423	-37.16031	0.42789018	6	23852142		False	1995.0	M		/m/0dryh9k	Vikas Bhalla	16.0		['Drama', 'Melodrama', 'Ensemble Film']	Sauda
